Frase,Película
"El amor es demasiado débil como palabra para lo que siento - tengo hambre, tengo sed de ti. Me consumo",El paciente inglés
"No eres responsable de cómo te ves, pero sí de cómo te ven",American Beauty
"No todo el mundo puede llegar a ser un gran artista, pero un gran artista puede provenir de cualquier lugar",Ratatouille
"Siempre hay un poco de verdad detrás de cada 'solo bromeaba', un poco de conocimiento detrás de cada 'no lo sé', un poco de emoción detrás de cada 'no me importa' y un poco de dolor detrás de 'está bien'",Eterno resplandor de una mente sin recuerdos
Las ideas son a prueba de balas,V de Vendetta
"Nunca te arrepientas de nada, porque en un momento era exactamente lo que querías",El lado bueno de las cosas
"Lo que hacemos en la vida, hace eco en la eternidad",Gladiador
"No son las habilidades lo que muestra cómo somos, son nuestras decisiones",Harry Potter y la cámara secreta
A veces la verdad no es suficiente. A veces la gente merece más,El caballero oscuro
"Si fuera fácil, todo el mundo lo haría",Moneyball
Algunas personas no pueden creer en sí mismas hasta que alguien más cree en ellas primero,El indomable Will Hunting
"No es lo que está debajo de la máscara de un hombre, sino lo que hace, lo que le define",Batman Begins
No hay hombre más infeliz que aquel que nunca ha enfrentado la adversidad,La vida de Pi
"La felicidad se puede encontrar incluso en los momentos más oscuros, si somos capaces de usar bien la luz",Harry Potter y el prisionero de Azkaban
"Las palabras son, en mi no tan humilde opinión, nuestra más inagotable fuente de magia",Harry Potter y las reliquias de la muerte
Los sueños significan trabajo,La princesa y el sapo
El mundo está lleno de cosas obvias que nadie por casualidad jamás observa,Sherlock Holmes
Un momento puede cambiar todo,Antes del amanecer
Las palabras nos pueden hacer infinitamente felices o sumamente tristes,Medianoche en París
"Nunca dejes que nadie te diga que no puedes hacer algo. Ni siquiera yo. Si tienes un sueño, tienes que protegerlo",En busca de la felicidad
"El arte nunca se termina, solo se abandona",El tren de las 3:10
"Ya no veo mal o bien, solo veo lo que es",El libro de Eli
El mayor problema de este mundo es que no nos entendemos los unos a los otros,Crash
"El respeto es algo que no se da, se merece",Gran Torino
Hay tres tipos de personas en este mundo: los que saben contar y los que no,Austin Powers
"Aunque estés preparado para lo peor, nunca lo estás realmente",Mystic River
No hay nada como el hogar,El mago de Oz
Un gran poder conlleva una gran responsabilidad,Spider-Man
Algunas veces las personas más reales son las que nunca existieron,El club de los poetas muertos
Lo único constante es el cambio,El curioso caso de Benjamin Button
Jamás permitas que otros te digan quién eres,El rey león
"La belleza no está en los rostros, está en el corazón","Babe, el cerdito valiente"
La mayor debilidad del hombre es rendirse cuando todavía tiene fuerzas para seguir,Los puentes de Madison
"La verdadera libertad está en no poder ser encarcelado, torturado o asesinado por expresar tus opiniones",V de Vendetta
"La gente puede ser amada, pero las cosas solo pueden ser usadas. La confusión comienza cuando empezamos a amar cosas y a usar personas",El diablo viste de Prada
Somos lo que elegimos ser,Spider-Man
Cualquiera puede cocinar,Ratatouille
"El hombre no es lo que es por lo que escribe, sino por lo que ha leído",El lector
Todo lo que queremos está al otro lado del miedo,La vida secreta de Walter Mitty
Hay cosas que se rompen y nunca se pueden arreglar,Los puentes de Madison
"La valentía no es la ausencia de miedo, sino el triunfo sobre él",El discurso del rey
La distancia es lo único que hace que el corazón crezca,Her
"Mi filosofía es que no puedes vencer al miedo, solo puedes aprender a vivir con él",A ciegas
Los sueños no funcionan si no lo haces,La bella y la bestia
"No es suficiente con sobrevivir, hay que merecer sobrevivir",Gravedad
"El dolor es inevitable, el sufrimiento es opcional",La vida de Pi
A veces el no hacer nada es el acto más poderoso que existe,Matrix
"Algunos dicen que la vida es demasiado corta para el amor, pero yo digo que es muy larga para estar solo",Intocable
"Lo hermoso de la vida no es cómo termina, sino cómo se vive",Seven
La vida es una suma de nuestras decisiones,El lado bueno de las cosas
No hay mejor noticia que la de estar vivo,Castaway
El fracaso no es una opción,Apollo 13
Este es el comienzo de una hermosa amistad,Casablanca
Nadie puede hacerte sentir inferior sin tu consentimiento,El discurso del rey
"El cambio duele, pero el estancamiento mata",Una mente maravillosa
La realidad es a menudo decepcionante,Avengers: Infinity War
Lo único que podemos hacer es darle un buen uso al tiempo que se nos ha concedido,El Señor de los Anillos: La Comunidad del Anillo
La felicidad solo puede ser encontrada si se mira dentro de uno mismo,Harry Potter y la piedra filosofal
"No es la ausencia de miedo, es el dominio del miedo; es la superación del miedo",Invictus
La esperanza es lo que hace que los pájaros canten ante el amanecer más oscuro,Shawshank Redemption
"Si piensas que estás listo, no lo estás",Alicia en el país de las maravillas
"La belleza es poder, una sonrisa es su espada",La gran belleza
"El pasado puede doler, pero puedes huir de él o aprender de él",El rey león
La aventura está allí fuera,Up
El miedo es el asesino de la mente,Dune
"Recuerda, no importa dónde vayas, ahí estarás",El mundo según Wayne
La verdad rara vez es pura y nunca es simple,Un método peligroso
